meta_description,duplicate_count,urls,page_types,business_priorities,severity
"1,335 followers, 602 following, 149 posts - 𝗠𝗢𝗥𝗙𝗥𝗔𝗖 (@morfracsystems) on instagram: ""𝗺𝗼𝗿𝗲 𝗳𝗼𝗿 𝘆𝗼𝘂𝗿 𝗯𝗼𝗮𝘁.
cool gear • smart engineering
open 24/7 ↓""",2,https://www.morfrac.com/es/website/social/instagram | https://www.morfrac.com/website/social/instagram,system,ignore,LOW
featherlight ø20mm stick-on padeye combined with ø30mm aluminium friction ring for versatile low-profile rope management applications.,2,https://www.morfrac.com/es/shop/padeye-27/padeye-ring-20-30-stick-on-padeye-ring-12653 | https://www.morfrac.com/shop/padeye-27/padeye-ring-20-30-stick-on-padeye-ring-12653,product,high,LOW
"complete 1.5t swl furling system for sailboats, engineered for smooth, reliable furling performance and efficient sail handling onboard.",2,https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-furling-kit-12530 | https://www.morfrac.com/shop/powerfurl-one-furling-kit-12530,product,high,LOW
"complete 12t swl continuous line furling kit engineered for smooth furling control, reliable sail handling and offshore durability.",2,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-twelve-continuous-line-furling-kit-12596 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-twelve-continuous-line-furling-kit-12596,product,high,LOW
"custom. | custom furler | custom block | custom dogbone | custom padeye | custom parts for sailing yacht | custom, for you!",2,https://www.morfrac.com/custom | https://www.morfrac.com/es/custom,general,medium,LOW
"discover custom titanium morfblock. morfrac's ultra-light yet powerful morfblock. inspired by the diabolical ironclad beetle. withstand up to 40,000 times its weight in swl, blending strength and compact design for unmatched durability.",2,https://www.morfrac.com/blog/custom-6/40000-times-its-weight-15 | https://www.morfrac.com/es/blog/custom-6/40000-times-its-weight-15,technical_blog,medium,LOW
discover mloop. the high-performance dyneema® loop crafted for maximum strength-to-weight ratio. custom sizes available.,2,https://www.morfrac.com/es/shop/mloop-34/mloop-custom-12674 | https://www.morfrac.com/shop/mloop-34/mloop-custom-12674,product,high,LOW
dogbone. | secure and seamless textile connection | hard anodized aluminium + pfte | titanium | custom shapes and materials | for you!,2,https://www.morfrac.com/dogbone | https://www.morfrac.com/es/dogbone,product,high,LOW
christmas edition,2,https://www.morfrac.com/blog/stories-4/custom-padeyes-11 | https://www.morfrac.com/es/blog/historias-4/padeye-a-medida-11,technical_blog,medium,LOW
"cnc-machined grade 5 titanium d-shackle delivering ultra lightweight construction, exceptional strength and reliable high-load performance offshore.",2,https://www.morfrac.com/es/shop/ti-shackle-24/powerfurl-six-ti-shackle-12541 | https://www.morfrac.com/shop/ti-shackle-24/powerfurl-six-ti-shackle-12541,product,high,LOW
"become a morfrac partner. enjoy discounts, personalizations, 24/7 online access to our stock, dedicated support and much more!",2,https://www.morfrac.com/become-a-morfrac-trade-partner | https://www.morfrac.com/es/become-a-morfrac-trade-partner,general,medium,LOW
anodized aluminium friction ring with ptfe coating for efficient low-friction rope management and high-performance sailing systems. groove max line ø16mm.,2,https://www.morfrac.com/es/shop/morfring-26/morfring-60-ptfe-friction-ring-12483 | https://www.morfrac.com/shop/morfring-26/morfring-60-ptfe-friction-ring-12483,product,high,LOW
cnc-machined ø8mm grade 5 titanium d-shackle delivering ultra lightweight construction and unmatched resistance for high-load sailing applications.,2,https://www.morfrac.com/es/shop/ti-shackle-24/powerfurl-three-ti-shackle-12575 | https://www.morfrac.com/shop/ti-shackle-24/powerfurl-three-ti-shackle-12575,product,high,LOW
compact anodized aluminium friction ring with ptfe coating for efficient rope management and reliable low-friction performance. groove max line ø12mm.,2,https://www.morfrac.com/es/shop/morfring-26/morfring-40-ptfe-friction-ring-12479 | https://www.morfrac.com/shop/morfring-26/morfring-40-ptfe-friction-ring-12479,product,high,LOW
compact ø20mm stick-on padeye featuring integrated ø20mm aluminium friction ring for lightweight deck layouts and efficient rope guidance.,2,https://www.morfrac.com/es/shop/padeye-27/padeye-ring-20-20-stick-on-padeye-ring-12654 | https://www.morfrac.com/shop/padeye-27/padeye-ring-20-20-stick-on-padeye-ring-12654,product,high,LOW
"3/8"" - 9.5mm diameter
used in the aeronautical, aerospace, electronics and nautical industries.
10 units",2,https://www.morfrac.com/es/shop/outlet-36/torbol-38-torlon-balls-9525-38-10-pack-12816 | https://www.morfrac.com/shop/outlet-36/torbol-38-torlon-balls-9525-38-10-pack-12816,product,high,LOW
"morfblock. | the block with the best working load/weight ratio of the market | simplicity, reliability, performance. | made for your yacht!",2,https://www.morfrac.com/es/morfblock | https://www.morfrac.com/morfblock,product,high,LOW
"lightweight ø40mm stick-on padeye designed for clean deck layouts, versatile fastening applications and easy installation on multiple surfaces.",2,https://www.morfrac.com/es/shop/padeye-27/padeye-stick-40-stick-on-padeye-12651 | https://www.morfrac.com/shop/padeye-27/padeye-stick-40-stick-on-padeye-12651,product,high,LOW
"lightweight ø20mm stick-on padeye with integrated ø15mm aluminium friction ring for clean, compact and versatile rope management solutions onboard.",2,https://www.morfrac.com/es/shop/padeye-27/padeye-ring-20-15-stick-on-padeye-ring-12652 | https://www.morfrac.com/shop/padeye-27/padeye-ring-20-15-stick-on-padeye-ring-12652,product,high,LOW
lightweight xl aluminium friction ring with ptfe coating designed for smooth rope handling and demanding sailing applications. groove max line ø15mm.,2,https://www.morfrac.com/es/shop/morfring-26/morfring-60xl-ptfe-friction-ring-12482 | https://www.morfrac.com/shop/morfring-26/morfring-60xl-ptfe-friction-ring-12482,product,high,LOW
lightweight anodized aluminium friction ring with ptfe coating engineered for efficient rope guidance and reduced friction. groove max line ø5mm.,2,https://www.morfrac.com/es/shop/morfring-26/morfring-20-ptfe-friction-ring-12477 | https://www.morfrac.com/shop/morfring-26/morfring-20-ptfe-friction-ring-12477,product,high,LOW
"join us at stand 01.372. we’ll be introducing morfwing alongside our full range of cutting-edge products, accompanied by our partner clc composites.",2,https://www.morfrac.com/blog/news-1/mets-2024-17 | https://www.morfrac.com/es/blog/blog-1/mets-2024-17,technical_blog,medium,LOW
"let´s make it better, together!, become part of the morfrac network and enhance your projects!",2,https://www.morfrac.com/es/partner | https://www.morfrac.com/partner,system,ignore,LOW
lightweight aluminium through-deck padeye engineered for secure high-strength deck fittings and reliable sailing performance.,2,https://www.morfrac.com/es/shop/padeye-27/padeye-through-1-5t-through-deck-padeye-12640 | https://www.morfrac.com/shop/padeye-27/padeye-through-1-5t-through-deck-padeye-12640,product,high,LOW
high-strength aluminium through-deck padeye delivering reliable load distribution and durable lightweight deck fastening solutions.,2,https://www.morfrac.com/es/shop/padeye-27/padeye-through-6t-through-deck-padeye-12655 | https://www.morfrac.com/shop/padeye-27/padeye-through-6t-through-deck-padeye-12655,product,high,LOW
high-performance aluminium friction ring with ptfe coating delivering smooth rope handling and reliable low-friction efficiency. groove max line ø20mm.,2,https://www.morfrac.com/es/shop/morfring-26/morfring-70-ptfe-friction-ring-12485 | https://www.morfrac.com/shop/morfring-26/morfring-70-ptfe-friction-ring-12485,product,high,LOW
morfring. | low friction rings | hard black anodized aluminium + pfte | stainless steel and titanium on demand | made for you!,2,https://www.morfrac.com/es/morfring | https://www.morfrac.com/morfring,general,medium,LOW
morfblock.[custom] - high-performance runners' block engineered for minimal friction and maximum load capacity.,2,https://www.morfrac.com/es/shop/custom-33/morfblcok-custom-runners-12664 | https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblcok-custom-runners-12664,product,high,LOW
"morfrac | 702 followers on linkedin. [complexity, made simple] | at morfrac, we specialise in making the complex simple for you. 

whether you&#39;re a passionate yacht owner, expert captain, yacht designer, or skilled project manager, we&#39;re here to streamline your processes and make your life easier.

we address your current challenges, anticipate future issues, and deliver top-tier engineering solutions with comprehensive project support every step of the way.",2,https://www.morfrac.com/es/website/social/linkedin | https://www.morfrac.com/website/social/linkedin,system,ignore,LOW
"morfrac | high-performance yacht components, crafted with precision and exceptional quality. bespoke solutions tailored to your needs. aluminium, titanium stainless steel.",2,https://www.morfrac.com/blog/custom-6/pignose-titanium-24 | https://www.morfrac.com/es/blog/custom-6/pignose-titanium-24,technical_blog,medium,LOW
"morfrac's powerfurl., morfblock. and deck solutions available from  5 april 2025 at a new dutch sail loft led by kees de walle.",2,https://www.morfrac.com/blog/news-1/morfrac-de-walle-sails-33 | https://www.morfrac.com/es/blog/blog-1/morfrac-de-walle-sails-33,technical_blog,medium,LOW
morfrac sponsors the palma-melilla-palma regatta. 1000nm double-handed to qualify for the 2025 mini-transat,2,https://www.morfrac.com/blog/news-1/set-sail-with-morfrac-16 | https://www.morfrac.com/es/blog/blog-1/set-sail-with-morfrac-16,technical_blog,medium,LOW
"ptfe-coated aluminium friction ring delivering efficient rope management, low friction and lightweight reliability offshore. groove max line ø14mm.",2,https://www.morfrac.com/es/shop/morfring-26/morfring-50-ptfe-friction-ring-12481 | https://www.morfrac.com/shop/morfring-26/morfring-50-ptfe-friction-ring-12481,product,high,LOW
"powerfurl, the advanced furling system engineered for smooth, reliable performance. ideal for competitive sailors and cruising enthusiasts alike.
ti lashing fittings",2,https://www.morfrac.com/es/shop/outlet-36/powerfurl8-single-kit-12822 | https://www.morfrac.com/shop/outlet-36/powerfurl8-single-kit-12822,product,high,LOW
"powerfurl cunningham furler. | engineered for precision and performance | the ultimate solution for optimising sail shape, enhancing speed, and max control.",2,https://www.morfrac.com/blog/custom-6/cunningham-furler-25 | https://www.morfrac.com/es/blog/custom-6/cunningham-furler-25,technical_blog,medium,LOW
padeye. | anchored to your deck | for your powerboat and sailboat | aluminium and titanium | through-deck or stick-on | made for you!,2,https://www.morfrac.com/es/padeye | https://www.morfrac.com/padeye,product,high,LOW
"morfwing. | semi rigid wing | twin skin soft wing sail | superior aerodynamic control, durability, and versatility for any sailing condition | leave them behind!",2,https://www.morfrac.com/es/morfwing | https://www.morfrac.com/morfwing,product,high,LOW
"nearly time to turn the page on a new promising year.
a bit of a summary. see you in 2025!",2,https://www.morfrac.com/blog/news-1/2024-what-a-year-32 | https://www.morfrac.com/es/blog/blog-1/2024-vaya-ano-32,technical_blog,medium,LOW
morfwing. | discover our twin skin wing sail at metstrade 2024 - stand 01.372,2,https://www.morfrac.com/blog/news-1/introducing-morfwing-31 | https://www.morfrac.com/es/blog/blog-1/presentamos-morfwing-31,technical_blog,medium,LOW
"reach out to morfrac systems. our team is ready to assist you with cutting-edge hardware, innovative solutions and tailored support.",2,https://www.morfrac.com/contactus | https://www.morfrac.com/es/contactus,general,medium,LOW
"the morfrac outlet. high-performance sailing hardware at special prices, limited availability. refurbished, discontinued, exhibition gear.",2,https://www.morfrac.com/es/shop/category/outlet-36 | https://www.morfrac.com/shop/category/outlet-36,product,high,LOW
"subscribe to the morfrac dispatch. be the first to find out all the latest news, products, and trends.",2,https://www.morfrac.com/es/subscribe-to-the-morfrac-dispatch | https://www.morfrac.com/subscribe-to-the-morfrac-dispatch,general,medium,LOW
"solutions. | bespoke engineering and turnkey solutions for the marine industry. from concept to completion, morfrac delivers expert design, manufacturing, and project management tailored to your needs.",2,https://www.morfrac.com/es/solutions | https://www.morfrac.com/solutions,general,medium,LOW
"robust aluminium through-deck padeye designed for demanding sailing loads, lightweight installations and secure deck attachment points.",2,https://www.morfrac.com/es/shop/padeye-27/padeye-through-3t-through-deck-padeye-12649 | https://www.morfrac.com/shop/padeye-27/padeye-through-3t-through-deck-padeye-12649,product,high,LOW
"ptfe-coated aluminium friction ring delivering smooth rope handling, low friction and compact lightweight performance. groove max line ø8mm.",2,https://www.morfrac.com/es/shop/morfring-26/morfring-30-ptfe-friction-ring-12478 | https://www.morfrac.com/shop/morfring-26/morfring-30-ptfe-friction-ring-12478,product,high,LOW
ti-shackle. | titanium d-shackle | high-resistance shackles | lightweight and reliable connection | 3 sizes + custom | for you!,2,https://www.morfrac.com/es/shackle | https://www.morfrac.com/shackle,general,medium,LOW
"xl ptfe-coated aluminium friction ring engineered for smooth rope guidance, reduced friction and lightweight performance. groove max line ø14mm.",2,https://www.morfrac.com/es/shop/morfring-26/morfring-70xl-ptfe-friction-ring-12484 | https://www.morfrac.com/shop/morfring-26/morfring-70xl-ptfe-friction-ring-12484,product,high,LOW
xl aluminium friction ring with ptfe coating engineered for smooth rope guidance and lightweight high-load sailing systems. groove max line ø13mm.,2,https://www.morfrac.com/es/shop/morfring-26/morfring-50xl-ptfe-friction-ring-12480 | https://www.morfrac.com/shop/morfring-26/morfring-50xl-ptfe-friction-ring-12480,product,high,LOW
